6.5,17001,,17012,,,17014,,,17016,,,17029,
7.5,z,,z,O3,N2,z,,,z,,,z,O3
8.5,,,8.8,1.53E-07,-999,6.5,,,12,,,9.5,2.09E-07
9.5,,,9.5,2.59E-07,-999,7.5,,,18.3,,,10.5,2.47E-07
10.7,,,10.5,2.91E-07,-999,8.5,,,19.5,,,11.5,3.19E-07
11.5,,,11.6,3.81E-07,-999,9.5,,,20.9,,,12.4,4.70E-07
12.3,,,12.4,4.51E-07,-999,10.5,,,22.4,,,13.5,6.69E-07
13.5,,,13.2,6.32E-07,-999,11.7,,,23.7,,,14.8,1.00E-06
14.9,,,14.5,8.75E-07,-999,12.6,,,25.1,,,15.4,1.15E-06
15.9,,,15.8,1.42E-06,0.817,13.2,,,27,,,16.3,1.52E-06
17.1,,,16.8,1.82E-06,0.844,14.5,,,28.8,,,17.2,1.78E-06
18.4,,,17.9,2.25E-06,0.771,15.8,,,30.6,,,18.1,2.18E-06
19.8,,,19.2,2.66E-06,0.835,16.8,,,32.5,,,19.3,2.46E-06
21.4,,,20.5,2.75E-06,0.779,18,,,34.5,,,20.4,3.01E-06
23,,,22,2.92E-06,0.83,19.2,,,36.7,,,21.6,3.02E-06
24.6,,,23.5,2.82E-06,0.82,20.6,,,38.9,,,22.9,3.55E-06
26.5,,,25.1,3.24E-06,0.789,22,,,41,,,24,3.45E-06
28.6,,,26.9,3.36E-06,0.847,23.4,,,43.4,,,25.4,2.95E-06
30.6,,,28.7,3.22E-06,0.836,25,,,45.8,,,27,2.95E-06
32.8,,,30.6,2.71E-06,0.824,26.7,,,48.3,,,28.6,2.83E-06
35.1,,,32.6,2.76E-06,0.804,28.6,,,50.7,,,30.2,3.02E-06
37.5,,,34.6,2.82E-06,0.754,30.3,,,53.1,,,31.9,3.17E-06
40,,,36.9,3.24E-06,0.801,32.3,,,55.5,,,33.7,2.95E-06
42.7,,,39.4,3.60E-06,0.884,34.4,,,57.9,,,35.4,3.10E-06
45.4,,,41.9,4.79E-06,-999,36.6,,,60.3,,,37.4,3.42E-06
48.1,,,44.4,4.99E-06,-999,38.7,,,67.6,,,39.4,3.05E-06
50.7,,,46.9,4.20E-06,-999,41,,,70,,,41.7,4.24E-06
53.4,,,49.4,3.29E-06,-999,43.4,,,72.4,,,43.9,4.25E-06
56.2,,,51.9,2.63E-06,-999,45.9,,,74.8,,,46,4.45E-06
58.8,,,54.4,1.93E-06,-999,48.3,,,77.3,,,48.2,3.69E-06
61.5,,,56.9,1.40E-06,-999,50.7,,,79.7,,,50.3,2.82E-06
64.2,,,59.4,1.08E-06,-999,53.2,,,82.1,,,52.5,2.13E-06
66.9,,,61.8,7.63E-07,-999,55.7,,,84.5,,,54.7,1.70E-06
69.6,,,64.3,5.62E-07,-999,58.1,,,86.9,,,56.9,1.35E-06
72.3,,,66.8,4.28E-07,-999,60.6,,,89.3,,,59,1.01E-06
75,,,69.3,3.50E-07,-999,63,,,91.8,,,61.2,7.65E-07
77.7,,,71.8,2.55E-07,-999,65.5,,,94.2,,,63.4,5.98E-07
80.4,,,74.3,1.23E-07,-999,67.9,,,96.6,,,65.5,4.91E-07
83.1,,,76.8,5.00E-08,-999,70.4,,,99,,,67.7,3.99E-07
85.8,,,79.3,7.53E-08,-999,72.8,,,101.4,,,69.9,2.51E-07
88.5,,,81.8,-1.15E-08,-999,75.3,,,103.9,,,72.1,1.96E-07
91.1,,,84.3,1.26E-07,-999,77.7,,,106.3,,,74.3,1.17E-07
93.8,,,86.7,1.92E-07,-999,80.2,,,108.7,,,76.4,1.07E-07
96.5,,,89.2,1.12E-06,-999,85.1,,,111.1,,,78.6,5.89E-08
99.2,,,91.7,1.20E-06,-999,87.5,,,113.5,,,80.8,1.08E-07
101.9,,,94.2,9.63E-07,-999,92.5,,,115.9,,,83,8.36E-09
107.2,,,96.7,-999,-999,94.9,,,118.3,,,85.2,2.18E-07
109.9,,,99.2,-999,-999,97.4,,,120.8,,,87.4,4.54E-07
112.6,,,101.7,-999,-999,99.8,,,123.2,,,91.7,1.11E-06
115.2,,,104.2,-999,-999,102.3,,,125.6,,,93.9,7.10E-07
117.9,,,106.6,-999,-999,104.7,,,128,,,96.1,-999
120.6,,,109.1,-999,-999,107.2,,,130.4,,,98.3,-999
123.2,,,111.6,-999,-999,109.6,,,132.8,,,100.5,-999
125.9,,,114.1,-999,-999,112.1,,,135.2,,,102.7,-999
128.6,,,116.6,-999,-999,114.5,,,137.6,,,104.9,-999
131.2,,,119.1,-999,-999,117,,,140,,,107.1,-999
133.9,,,121.5,-999,-999,119.4,,,142.4,,,109.3,-999
136.5,,,124,-999,-999,121.9,,,144.9,,,111.5,-999
139.2,,,126.5,-999,-999,124.3,,,147.3,,,113.7,-999
141.8,,,129,-999,-999,126.7,,,149.7,,,115.9,-999
144.5,,,131.4,-999,-999,129.2,,,,,,118.1,-999
147.1,,,133.9,-999,-999,131.6,,,,,,120.3,-999
149.8,,,136.4,-999,-999,134.1,,,,,,122.5,-999
,,,138.9,-999,-999,136.5,,,,,,124.7,-999
,,,141.3,-999,-999,139,,,,,,126.9,-999
,,,143.8,-999,-999,141.4,,,,,,129.1,-999
,,,146.3,-999,-999,143.8,,,,,,131.3,-999
,,,148.7,-999,-999,146.3,,,,,,133.5,-999
,,,,,,148.7,,,,,,135.7,-999
,,,,,,,,,,,,137.9,-999
,,,,,,,,,,,,140.1,-999
,,,,,,,,,,,,142.3,-999
,,,,,,,,,,,,144.5,-999
,,,,,,,,,,,,146.7,-999
,,,,,,,,,,,,148.9,-999
